date,region,channel,product,orders,revenue,cost
2026-01-01,Midwest,Online,Starter,13,477.75,277.1
2026-01-01,Midwest,Online,Pro,15,787.5,456.75
2026-01-01,Midwest,Online,Enterprise,17,1160.25,672.95
2026-01-01,Midwest,Retail,Starter,15,577.5,334.95
2026-01-01,Midwest,Retail,Pro,17,935.0,542.3
2026-01-01,Midwest,Retail,Enterprise,19,1358.5,787.93
2026-01-01,Midwest,Partner,Starter,17,684.25,396.87
2026-01-01,Midwest,Partner,Pro,19,1092.5,633.65
2026-01-01,Midwest,Partner,Enterprise,21,1569.75,910.46
2026-01-01,South,Online,Starter,15,551.25,336.26
2026-01-01,South,Online,Pro,17,892.5,544.43
2026-01-01,South,Online,Enterprise,19,1296.75,791.02
2026-01-01,South,Retail,Starter,17,654.5,399.25
2026-01-01,South,Retail,Pro,19,1045.0,637.45
2026-01-01,South,Retail,Enterprise,21,1501.5,915.92
2026-01-01,South,Partner,Starter,19,764.75,466.5
2026-01-01,South,Partner,Pro,21,1207.5,736.58
2026-01-01,South,Partner,Enterprise,23,1719.25,1048.74
2026-01-01,West,Online,Starter,17,624.75,399.84
2026-01-01,West,Online,Pro,19,997.5,638.4
2026-01-01,West,Online,Enterprise,21,1433.25,917.28
2026-01-01,West,Retail,Starter,19,731.5,468.16
2026-01-01,West,Retail,Pro,21,1155.0,739.2
2026-01-01,West,Retail,Enterprise,23,1644.5,1052.48
2026-01-01,West,Partner,Starter,21,845.25,540.96
2026-01-01,West,Partner,Pro,23,1322.5,846.4
2026-01-01,West,Partner,Enterprise,25,1868.75,1196.0
2026-01-01,Northeast,Online,Starter,19,698.25,467.83
2026-01-01,Northeast,Online,Pro,21,1102.5,738.68
2026-01-01,Northeast,Online,Enterprise,23,1569.75,1051.73
2026-01-01,Northeast,Retail,Starter,21,808.5,541.7
2026-01-01,Northeast,Retail,Pro,23,1265.0,847.55
2026-01-01,Northeast,Retail,Enterprise,25,1787.5,1197.62
2026-01-01,Northeast,Partner,Starter,23,925.75,620.25
2026-01-01,Northeast,Partner,Pro,25,1437.5,963.13
2026-01-01,Northeast,Partner,Enterprise,27,2018.25,1352.23
2026-01-02,Midwest,Online,Starter,15,551.25,319.73
2026-01-02,Midwest,Online,Pro,17,892.5,517.65
2026-01-02,Midwest,Online,Enterprise,19,1296.75,752.12
2026-01-02,Midwest,Retail,Starter,17,654.5,379.61
2026-01-02,Midwest,Retail,Pro,19,1045.0,606.1
2026-01-02,Midwest,Retail,Enterprise,21,1501.5,870.87
2026-01-02,Midwest,Partner,Starter,19,764.75,443.56
2026-01-02,Midwest,Partner,Pro,21,1207.5,700.35
2026-01-02,Midwest,Partner,Enterprise,23,1719.25,997.17
2026-01-02,South,Online,Starter,17,624.75,381.1
2026-01-02,South,Online,Pro,19,997.5,608.48
2026-01-02,South,Online,Enterprise,21,1433.25,874.28
2026-01-02,South,Retail,Starter,19,731.5,446.22
2026-01-02,South,Retail,Pro,21,1155.0,704.55
2026-01-02,South,Retail,Enterprise,23,1644.5,1003.15
2026-01-02,South,Partner,Starter,21,845.25,515.6
2026-01-02,South,Partner,Pro,23,1322.5,806.73
2026-01-02,South,Partner,Enterprise,25,1868.75,1139.94
2026-01-02,West,Online,Starter,19,698.25,446.88
2026-01-02,West,Online,Pro,21,1102.5,705.6
2026-01-02,West,Online,Enterprise,23,1569.75,1004.64
2026-01-02,West,Retail,Starter,21,808.5,517.44
2026-01-02,West,Retail,Pro,23,1265.0,809.6
2026-01-02,West,Retail,Enterprise,25,1787.5,1144.0
2026-01-02,West,Partner,Starter,23,925.75,592.48
2026-01-02,West,Partner,Pro,25,1437.5,920.0
2026-01-02,West,Partner,Enterprise,27,2018.25,1291.68
2026-01-02,Northeast,Online,Starter,21,771.75,517.07
2026-01-02,Northeast,Online,Pro,23,1207.5,809.03
2026-01-02,Northeast,Online,Enterprise,25,1706.25,1143.19
2026-01-02,Northeast,Retail,Starter,23,885.5,593.29
2026-01-02,Northeast,Retail,Pro,25,1375.0,921.25
2026-01-02,Northeast,Retail,Enterprise,27,1930.5,1293.44
2026-01-02,Northeast,Partner,Starter,25,1006.25,674.19
2026-01-02,Northeast,Partner,Pro,27,1552.5,1040.17
2026-01-02,Northeast,Partner,Enterprise,29,2167.75,1452.39
2026-01-03,Midwest,Online,Starter,17,624.75,362.36
2026-01-03,Midwest,Online,Pro,19,997.5,578.55
2026-01-03,Midwest,Online,Enterprise,21,1433.25,831.29
2026-01-03,Midwest,Retail,Starter,19,731.5,424.27
2026-01-03,Midwest,Retail,Pro,21,1155.0,669.9
2026-01-03,Midwest,Retail,Enterprise,23,1644.5,953.81
2026-01-03,Midwest,Partner,Starter,21,845.25,490.25
2026-01-03,Midwest,Partner,Pro,23,1322.5,767.05
2026-01-03,Midwest,Partner,Enterprise,25,1868.75,1083.88
2026-01-03,South,Online,Starter,19,698.25,425.93
2026-01-03,South,Online,Pro,21,1102.5,672.53
2026-01-03,South,Online,Enterprise,23,1569.75,957.55
2026-01-03,South,Retail,Starter,21,808.5,493.19
2026-01-03,South,Retail,Pro,23,1265.0,771.65
2026-01-03,South,Retail,Enterprise,25,1787.5,1090.38
2026-01-03,South,Partner,Starter,23,925.75,564.71
2026-01-03,South,Partner,Pro,25,1437.5,876.88
2026-01-03,South,Partner,Enterprise,27,2018.25,1231.13
2026-01-03,West,Online,Starter,21,771.75,493.92
2026-01-03,West,Online,Pro,23,1207.5,772.8
2026-01-03,West,Online,Enterprise,25,1706.25,1092.0
2026-01-03,West,Retail,Starter,23,885.5,566.72
2026-01-03,West,Retail,Pro,25,1375.0,880.0
2026-01-03,West,Retail,Enterprise,27,1930.5,1235.52
2026-01-03,West,Partner,Starter,25,1006.25,644.0
2026-01-03,West,Partner,Pro,27,1552.5,993.6
2026-01-03,West,Partner,Enterprise,29,2167.75,1387.36
2026-01-03,Northeast,Online,Starter,23,845.25,566.32
2026-01-03,Northeast,Online,Pro,25,1312.5,879.38
2026-01-03,Northeast,Online,Enterprise,27,1842.75,1234.64
2026-01-03,Northeast,Retail,Starter,25,962.5,644.88
2026-01-03,Northeast,Retail,Pro,27,1485.0,994.95
2026-01-03,Northeast,Retail,Enterprise,29,2073.5,1389.25
2026-01-03,Northeast,Partner,Starter,27,1086.75,728.12
2026-01-03,Northeast,Partner,Pro,29,1667.5,1117.23
2026-01-03,Northeast,Partner,Enterprise,31,2317.25,1552.56
2026-01-04,Midwest,Online,Starter,19,698.25,404.99
2026-01-04,Midwest,Online,Pro,21,1102.5,639.45
2026-01-04,Midwest,Online,Enterprise,23,1569.75,910.46
2026-01-04,Midwest,Retail,Starter,21,808.5,468.93
2026-01-04,Midwest,Retail,Pro,23,1265.0,733.7
2026-01-04,Midwest,Retail,Enterprise,25,1787.5,1036.75
2026-01-04,Midwest,Partner,Starter,23,925.75,536.94
2026-01-04,Midwest,Partner,Pro,25,1437.5,833.75
2026-01-04,Midwest,Partner,Enterprise,27,2018.25,1170.59
2026-01-04,South,Online,Starter,21,771.75,470.77
2026-01-04,South,Online,Pro,23,1207.5,736.58
2026-01-04,South,Online,Enterprise,25,1706.25,1040.81
2026-01-04,South,Retail,Starter,23,885.5,540.16
2026-01-04,South,Retail,Pro,25,1375.0,838.75
2026-01-04,South,Retail,Enterprise,27,1930.5,1177.61
2026-01-04,South,Partner,Starter,25,1006.25,613.81
2026-01-04,South,Partner,Pro,27,1552.5,947.03
2026-01-04,South,Partner,Enterprise,29,2167.75,1322.33
2026-01-04,West,Online,Starter,23,845.25,540.96
2026-01-04,West,Online,Pro,25,1312.5,840.0
2026-01-04,West,Online,Enterprise,27,1842.75,1179.36
2026-01-04,West,Retail,Starter,25,962.5,616.0
2026-01-04,West,Retail,Pro,27,1485.0,950.4
2026-01-04,West,Retail,Enterprise,29,2073.5,1327.04
2026-01-04,West,Partner,Starter,27,1086.75,695.52
2026-01-04,West,Partner,Pro,29,1667.5,1067.2
2026-01-04,West,Partner,Enterprise,31,2317.25,1483.04
2026-01-04,Northeast,Online,Starter,25,918.75,615.56
2026-01-04,Northeast,Online,Pro,27,1417.5,949.73
2026-01-04,Northeast,Online,Enterprise,29,1979.25,1326.1
2026-01-04,Northeast,Retail,Starter,27,1039.5,696.47
2026-01-04,Northeast,Retail,Pro,29,1595.0,1068.65
2026-01-04,Northeast,Retail,Enterprise,31,2216.5,1485.06
2026-01-04,Northeast,Partner,Starter,29,1167.25,782.06
2026-01-04,Northeast,Partner,Pro,31,1782.5,1194.28
2026-01-04,Northeast,Partner,Enterprise,33,2466.75,1652.72
2026-01-05,Midwest,Online,Starter,21,771.75,447.62
2026-01-05,Midwest,Online,Pro,23,1207.5,700.35
2026-01-05,Midwest,Online,Enterprise,25,1706.25,989.63
2026-01-05,Midwest,Retail,Starter,23,885.5,513.59
2026-01-05,Midwest,Retail,Pro,25,1375.0,797.5
2026-01-05,Midwest,Retail,Enterprise,27,1930.5,1119.69
2026-01-05,Midwest,Partner,Starter,25,1006.25,583.63
2026-01-05,Midwest,Partner,Pro,27,1552.5,900.45
2026-01-05,Midwest,Partner,Enterprise,29,2167.75,1257.3
2026-01-05,South,Online,Starter,23,845.25,515.6
2026-01-05,South,Online,Pro,25,1312.5,800.63
2026-01-05,South,Online,Enterprise,27,1842.75,1124.08
2026-01-05,South,Retail,Starter,25,962.5,587.13
2026-01-05,South,Retail,Pro,27,1485.0,905.85
2026-01-05,South,Retail,Enterprise,29,2073.5,1264.84
2026-01-05,South,Partner,Starter,27,1086.75,662.92
2026-01-05,South,Partner,Pro,29,1667.5,1017.18
2026-01-05,South,Partner,Enterprise,31,2317.25,1413.52
2026-01-05,West,Online,Starter,25,918.75,588.0
2026-01-05,West,Online,Pro,27,1417.5,907.2
2026-01-05,West,Online,Enterprise,29,1979.25,1266.72
2026-01-05,West,Retail,Starter,27,1039.5,665.28
2026-01-05,West,Retail,Pro,29,1595.0,1020.8
2026-01-05,West,Retail,Enterprise,31,2216.5,1418.56
2026-01-05,West,Partner,Starter,29,1167.25,747.04
2026-01-05,West,Partner,Pro,31,1782.5,1140.8
2026-01-05,West,Partner,Enterprise,33,2466.75,1578.72
2026-01-05,Northeast,Online,Starter,27,992.25,664.81
2026-01-05,Northeast,Online,Pro,29,1522.5,1020.08
2026-01-05,Northeast,Online,Enterprise,31,2115.75,1417.55
2026-01-05,Northeast,Retail,Starter,29,1116.5,748.06
2026-01-05,Northeast,Retail,Pro,31,1705.0,1142.35
2026-01-05,Northeast,Retail,Enterprise,33,2359.5,1580.87
2026-01-05,Northeast,Partner,Starter,31,1247.75,835.99
2026-01-05,Northeast,Partner,Pro,33,1897.5,1271.33
2026-01-05,Northeast,Partner,Enterprise,35,2616.25,1752.89
2026-01-06,Midwest,Online,Starter,23,845.25,490.25
2026-01-06,Midwest,Online,Pro,25,1312.5,761.25
2026-01-06,Midwest,Online,Enterprise,27,1842.75,1068.8
2026-01-06,Midwest,Retail,Starter,25,962.5,558.25
2026-01-06,Midwest,Retail,Pro,27,1485.0,861.3
2026-01-06,Midwest,Retail,Enterprise,29,2073.5,1202.63
2026-01-06,Midwest,Partner,Starter,27,1086.75,630.32
2026-01-06,Midwest,Partner,Pro,29,1667.5,967.15
2026-01-06,Midwest,Partner,Enterprise,31,2317.25,1344.01
2026-01-06,South,Online,Starter,25,918.75,560.44
2026-01-06,South,Online,Pro,27,1417.5,864.68
2026-01-06,South,Online,Enterprise,29,1979.25,1207.34
2026-01-06,South,Retail,Starter,27,1039.5,634.1
2026-01-06,South,Retail,Pro,29,1595.0,972.95
2026-01-06,South,Retail,Enterprise,31,2216.5,1352.07
2026-01-06,South,Partner,Starter,29,1167.25,712.02
2026-01-06,South,Partner,Pro,31,1782.5,1087.33
2026-01-06,South,Partner,Enterprise,33,2466.75,1504.72
2026-01-06,West,Online,Starter,27,992.25,635.04
2026-01-06,West,Online,Pro,29,1522.5,974.4
2026-01-06,West,Online,Enterprise,31,2115.75,1354.08
2026-01-06,West,Retail,Starter,29,1116.5,714.56
2026-01-06,West,Retail,Pro,31,1705.0,1091.2
2026-01-06,West,Retail,Enterprise,33,2359.5,1510.08
2026-01-06,West,Partner,Starter,31,1247.75,798.56
2026-01-06,West,Partner,Pro,33,1897.5,1214.4
2026-01-06,West,Partner,Enterprise,35,2616.25,1674.4
2026-01-06,Northeast,Online,Starter,29,1065.75,714.05
2026-01-06,Northeast,Online,Pro,31,1627.5,1090.42
2026-01-06,Northeast,Online,Enterprise,33,2252.25,1509.01
2026-01-06,Northeast,Retail,Starter,31,1193.5,799.65
2026-01-06,Northeast,Retail,Pro,33,1815.0,1216.05
2026-01-06,Northeast,Retail,Enterprise,35,2502.5,1676.68
2026-01-06,Northeast,Partner,Starter,33,1328.25,889.93
2026-01-06,Northeast,Partner,Pro,35,2012.5,1348.38
2026-01-06,Northeast,Partner,Enterprise,37,2765.75,1853.05
2026-01-07,Midwest,Online,Starter,25,918.75,532.88
2026-01-07,Midwest,Online,Pro,27,1417.5,822.15
2026-01-07,Midwest,Online,Enterprise,29,1979.25,1147.97
2026-01-07,Midwest,Retail,Starter,27,1039.5,602.91
2026-01-07,Midwest,Retail,Pro,29,1595.0,925.1
